Nth day,Average engagement time
0000,11984.736842105263
0001,57603.25
0002,51909.4
0003,16587.05
0004,11953.047619047618
0005,8245.37037037037
0006,8610.4
0007,7412.578947368421
0008,147600
0009,144000
0010,15395
0011,5604.461538461538
0012,8527.4
0013,19306.11111111111
0014,35736.2
0015,79200
0016,66600
0017,79200
0018,11315.272727272728
0019,22621.333333333332
0020,41780
0021,43584.857142857145
0022,54000
0023,82800
0024,79200
0025,13694.923076923076
0026,34008.857142857145
0027,21376.545454545456

# Start date: 20231208
# End date: 20240104
Nth day,Engaged sessions per user
0000,0.8421052631578947
0001,0.25
0002,0.2
0003,0.75
0004,1.0952380952380953
0005,0.9259259259259259
0006,1.2
0007,1.4736842105263157
0008,1
0009,1
0010,2
0011,1.2307692307692308
0012,1
0013,1.8888888888888888
0014,1.4
0015,1
0016,1
0017,1
0018,0.6363636363636364
0019,1
0020,1.6
0021,1.4285714285714286
0022,1
0023,0
0024,0
0025,1.0769230769230769
0026,1.7142857142857142
0027,1

# Start date: 20231208
# End date: 20240104
Nth day,Average engagement time per session
0000,7590.333333333333
0001,57603.25
0002,51909.4
0003,10052.757575757576
0004,5578.0888888888885
0005,4452.5
0006,3189.037037037037
0007,2470.8596491228072
0008,73800
0009,72000
0010,5864.761904761905
0011,3167.7391304347825
0012,5116.44
0013,6205.535714285715
0014,16243.727272727272
0015,79200
0016,66600
0017,79200
0018,11315.272727272728
0019,15080.888888888889
0020,18990.909090909092
0021,21792.428571428572
0022,36000
0023,82800
0024,39600
0025,5394.969696969697
0026,13225.666666666666
0027,8397.92857142857

#  
# Start date: 20231208
# End date: 20240104
Nth day,Views
0000,169
0001,1
0002,12
0003,378
0004,461
0005,620
0006,593
0007,325
0008,0
0009,0
0010,181
0011,120
0012,84
0013,182
0014,92
0015,0
0016,0
0017,0
0018,123
0019,233
0020,262
0021,104
0022,0
0023,0
0024,0
0025,272
0026,272
0027,406

# Start date: 20231208
# End date: 20240104
Nth day,Event count
0000,721
0001,74
0002,120
0003,1257
0004,1316
0005,2487
0006,1822
0007,1147
0008,45
0009,43
0010,638
0011,315
0012,328
0013,614
0014,453
0015,44
0016,39
0017,22
0018,359
0019,775
0020,948
0021,528
0022,46
0023,23
0024,25
0025,945
0026,1096
0027,1567

#  
# Start date: 20231208
# End date: 20240104
Event name,Event count
screen_view,4583
user_engagement,4190
Sign_In_Successful_Token_Valid,1429
Token_Data_Refresh_Success,934
Available_Shift_Landing_Page,848
ShiftExchangeCampaignEvent,508
Sign_Out_Successful,497
MoreViewLandingPageCampaignEvent,488
SignIn_Button_Clicked,352
Sign_In_Attempted,352
Sign_In_Successful,321
page_view,307
ScheduleCampaignEvent,292
Sign_Out_Failed_Inconclusive,278
session_start,252
Sign_Out_Attempted,244
My_Xchanges_Screen,235
MorePageNavigation_CallOut,189
TimeOffRequestCampaignEvent,154
HomeCampaignEvent,117
Refresh_token_invalid,96
MorePageNavigation_TimeOff_Request,87
TimecardCampaignEvent,80
